datum,begin,eind,gereden,"","",-,-
06-Apr,51937,51997,60,thuis,goodzo,3315 MT,2715 CA
06-Apr,51997,52057,60,goodzo,thuis,2715 CA,3315 MT
07-Apr,52057,52116,59,thuis,goodzo,3315 MT,2715 CA
07-Apr,52116,52175,59,goodzo,thuis,2715 CA,3315 MT
10-Apr,52175,52250,75,thuis,scol leiden,3315 MT,2334 CZ
10-Apr,52250,52334,84,scol leiden,thuis,2334 CZ,3315 MT
14-Apr,52334,52404,70,thuis,scol leiden,3315 MT,2334 CZ
14-Apr,52404,52482,78,scol leiden,thuis,2334 CZ,3315 MT
"","","","","","",-,-
01-May,52482,52538,56,thuis,Gemeente Den Haag Zilverstraat,3315 MT,2544 EJ
01-May,52538,52597,59,Gemeente Den Haag Zilverstraat,Thuis,2544 EJ,3315 MT
06-May,52597,52654,57,Thuis,Gemeente Den Haag Zilverstraat,3315 MT,2544 EJ
06-May,52654,52716,62,Gemeente Den Haag Zilverstraat,thuis,2544 EJ,3315 MT
08-May,52716,52775,59,thuis,goodzo,3315 MT,2715 CA
08-May,52775,52836,61,goodzo,thuis,2715 CA,3315 MT
11-May,52836,52892,56,thuis,Gemeente Den Haag Zilverstraat,3315 MT,2544 EJ
11-May,52892,52949,57,Gemeente Den Haag Zilverstraat,thuis,2544 EJ,3315 MT
13-May,52949,53006,57,thuis,Gemeente Den Haag Zilverstraat,3315 MT,2544 EJ
13-May,53006,53062,56,Gemeente Den Haag Zilverstraat,thuis,2544 EJ,3315 MT
14-May,53062,53118,56,thuis,Gemeente Den Haag Zilverstraat,3315 MT,2544 EJ
14-May,53118,53142,24,Gemeente Den Haag Zilverstraat,goodzo,2544 EJ,2715 CA
14-May,53142,53202,60,goodzo,thuis,2715 CA,3315 MT
15-May,53202,53258,56,thuis,Gemeente Den Haag Zilverstraat,3315 MT,2544 EJ
15-May,53258,53312,54,Gemeente Den Haag Zilverstraat,Thuis,2544 EJ,3315 MT
21-May,53312,53372,60,Thuis,goodzo,3315 MT,2715 CA
22-May,53372,53432,60,goodzo,thuis,2715 CA,3315 MT
28-May,53432,53496,64,thuis,goodzo,3315 MT,2715 CA
29-May,53496,53559,63,goodzo,thuis,2715 CA,3315 MT
11-Jun,53559,53616,57,thuis,goodzo,3315 MT,2715 CA
12-Jun,53616,53669,53,goodzo,thuis,2715 CA,3315 MT
17-Jun,53669,53729,60,thuis,goodzo,3315 MT,2715 CA
17-Jun,53729,53796,67,goodzo,thuis,2715 CA,3315 MT
18-Jun,53796,53855,59,thuis,goodzo,3315 MT,2715 CA
19-Jun,53855,53918,63,goodzo,thuis,2715 CA,3315 MT
22-Jun,53918,53972,54,thuis,goodzo,3315 MT,2715 CA
22-Jun,53972,54030,58,goodzo,thuis,2715 CA,3315 MT
24-Jun,54030,54090,60,thuis,goodzo,3315 MT,2715 CA
24-Jun,54090,54147,57,goodzo,thuis,2715 CA,3315 MT
26-Jun,54147,54206,59,thuis,goodzo,3315 MT,2715 CA
26-Jun,54206,54276,70,goodzo,thuis,2715 CA,3315 MT
08-Jul,54276,54331,55,thuis,goodzo,3315 MT,2715 CA
08-Jul,54331,54387,56,goodzo,thuis,2715 CA,3315 MT
13-Jul,54387,54450,63,thuis,goodzo,3315 MT,2715 CA
13-Jul,54450,54506,56,goodzo,thuis,2715 CA,3315 MT
14-Jul,54506,54561,55,thuis,goodzo,3315 MT,2715 CA
14-Jul,54561,54614,53,goodzo,thuis,2715 CA,3315 MT
23-Jul,54614,54669,55,thuis,goodzo,3315 MT,2715 CA
23-Jul,54669,54751,82,goodzo,via Scheveningen tussenstop naar huis,2715 CA,-
27-Jul,54751,54805,54,thuis,goodzo,3315 MT,2715 CA
27-Jul,54805,54864,59,goodzo,thuis,2715 CA,3315 MT
29-Jul,54864,54937,73,thuis,goodzo,3315 MT,2715 CA
29-Jul,54937,54996,59,goodzo,thuis,2715 CA,3315 MT
13-Aug,54996,55064,68,thuis,Avans OWB,3315 MT,5223 DJ
13-Aug,55064,55130,66,Avans OWB,Thuis,5223 DJ,3315 MT
14-Aug,55130,55198,68,Thuis,Avans OWB,3315 MT,5223 DJ
14-Aug,55198,55202,4,Avans OWB,Avans TRZ,5223 DJ,5232 JE
14-Aug,55202,55206,4,Avans TRZ,Avans OWB,5232 JE,5223 DJ
"",55206,"",-55206,Avans OWB,"",5223 DJ,-
14-Aug,55206,55273,67,Avans OWB,thuis,5223 DJ,3315 MT
17-Aug,55273,55342,69,thuis,Avans OWB,3315 MT,5223 DJ
17-Aug,55342,55409,67,Avans OWB,Thuis,5223 DJ,3315 MT
18-Aug,55409,55448,39,Thuis,Avans Breda HSL,3315 MT,-
18-Aug,55448,55452,4,Avans Breda HSL,Avans Breda Kunst,-,-
18-Aug,55452,55491,39,Avans Breda Kunst,thuis,-,3315 MT
19-Aug,55491,55555,64,thuis,Avans Tilburg,3315 MT,-
19-Aug,55555,55590,35,Avans Tilburg,Avans OWB,-,5223 DJ
19-Aug,55590,55657,67,Avans OWB,thuis,5223 DJ,3315 MT
19-Aug,55657,55724,67,thuis,Avans den bosch kunst,3315 MT,5223 AL
19-Aug,55724,55727,3,Avans den bosch kunst,Avans Den Bosch Kunst,5223 AL,5223 AL
19-Aug,55727,55792,65,Avans Den Bosch Kunst,thuis,5223 AL,3315 MT
20-Aug,55792,55860,68,thuis,Avans OWB,3315 MT,5223 DJ
20-Aug,55860,55926,66,Avans OWB,thuis,5223 DJ,3315 MT
24-Aug,55926,55994,68,thuis,Avans den bosch kunst,3315 MT,5223 AL
24-Aug,55994,56062,68,Avans den bosch kunst,thuis,5223 AL,3315 MT
25-Aug,56062,56131,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
25-Aug,56131,56200,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
26-Aug,56200,56269,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
26-Aug,56269,56271,2,Avans den bosch kunst,Avans OWB,5223 AL,5223 DJ
26-Aug,56271,56340,69,Avans OWB,thuis,5223 DJ,3315 MT
27-Aug,56340,56410,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
27-Aug,56410,56479,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
28-Aug,56479,56549,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
28-Aug,56549,56619,70,Avans den bosch kunst,thuis,5223 AL,3315 MT
31-Aug,56619,56688,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
31-Aug,56688,56756,68,Avans den bosch kunst,thuis,5223 AL,3315 MT
01-Sep,56756,56816,60,thuis,goodzo,3315 MT,2715 CA
01-Sep,56816,56874,58,goodzo,thuis,2715 CA,3315 MT
02-Sep,56874,56943,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
02-Sep,56943,57013,70,Avans den bosch kunst,thuis,5223 AL,3315 MT
03-Sep,57013,57081,68,thuis,Avans den bosch kunst,3315 MT,5223 AL
03-Sep,57081,57150,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
04-Sep,57150,57220,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
04-Sep,57220,57289,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
07-Sep,57289,57356,67,thuis,Avans OWB,3315 MT,5223 DJ
07-Sep,57356,57423,67,Avans OWB,thuis,5223 DJ,3315 MT
08-Sep,57423,57491,68,thuis,Avans OWB,3315 MT,5223 DJ
08-Sep,57491,57558,67,Avans OWB,thuis,5223 DJ,3315 MT
09-Sep,57558,57626,68,thuis,Avans OWB,3315 MT,5223 DJ
09-Sep,57626,57692,66,Avans OWB,thuis,5223 DJ,3315 MT
11-Sep,57692,57760,68,thuis,Avans OWB,3315 MT,5223 DJ
11-Sep,57760,57827,67,Avans OWB,thuis,5223 DJ,3315 MT
14-Sep,57827,57897,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
14-Sep,57897,57966,69,Avans den bosch kunst,Thuis,5223 AL,3315 MT
15-Sep,57966,58037,71,Thuis,Avans den bosch kunst,3315 MT,5223 AL
15-Sep,58037,58107,70,Avans den bosch kunst,thuis,5223 AL,3315 MT
16-Sep,58107,58176,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
16-Sep,58176,58245,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
17-Sep,58245,58314,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
17-Sep,58314,58383,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
18-Sep,58383,58453,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
18-Sep,58453,58521,68,Avans den bosch kunst,Thuis,5223 AL,3315 MT
21-Sep,58521,58589,68,Thuis,Avans OWB,3315 MT,5223 DJ
21-Sep,58589,58656,67,Avans OWB,thuis,5223 DJ,3315 MT
22-Sep,58656,58724,68,thuis,Avans OWB,3315 MT,5223 DJ
22-Sep,58724,58791,67,Avans OWB,thuis,5223 DJ,3315 MT
23-Sep,58791,58858,67,thuis,Avans OWB,3315 MT,5223 DJ
23-Sep,58858,58925,67,Avans OWB,thuis,5223 DJ,3315 MT
24-Sep,58925,58993,68,thuis,Avans OWB,3315 MT,5223 DJ
24-Sep,58993,59062,69,Avans OWB,thuis,5223 DJ,3315 MT
25-Sep,59062,59129,67,thuis,Avans OWB,3315 MT,5223 DJ
25-Sep,59129,59196,67,Avans OWB,thuis,5223 DJ,3315 MT
05-Oct,59196,59264,68,thuis,Avans OWB,3315 MT,5223 DJ
05-Oct,59264,59331,67,Avans OWB,thuis,5223 DJ,3315 MT
06-Oct,59331,59399,68,thuis,Avans OWB,3315 MT,5223 DJ
06-Oct,59399,59466,67,Avans OWB,thuis,5223 DJ,3315 MT
07-Oct,59466,59534,68,thuis,Avans OWB,3315 MT,5223 DJ
07-Oct,59534,59601,67,Avans OWB,thuis,5223 DJ,3315 MT
08-Oct,59601,59669,68,thuis,Avans OWB,3315 MT,5223 DJ
08-Oct,59669,59740,71,Avans OWB,thuis,5223 DJ,3315 MT
09-Oct,59740,59808,68,thuis,Avans OWB,3315 MT,5223 DJ
09-Oct,59808,59878,70,Avans OWB,thuis,5223 DJ,3315 MT
12-Oct,59878,59947,69,thuis,Avans OWB,3315 MT,5223 DJ
12-Oct,59947,60016,69,Avans OWB,thuis,5223 DJ,3315 MT
13-Oct,60016,60086,70,thuis,Avans OWB,3315 MT,5223 DJ
13-Oct,60086,60156,70,Avans OWB,thuis,5223 DJ,3315 MT
14-Oct,60156,60225,69,thuis,Avans OWB,3315 MT,5223 DJ
14-Oct,60225,60260,35,Avans OWB,avans eindhoven BIC,5223 DJ,5657 BX
14-Oct,60260,60294,34,avans eindhoven BIC,Avans OWB,5657 BX,5223 DJ
14-Oct,60294,60361,67,Avans OWB,thuis,5223 DJ,3315 MT
15-Oct,60361,60430,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
15-Oct,60430,60466,36,Avans den bosch kunst,avans eindhoven BIC,5223 AL,5657 BX
15-Oct,60466,60559,93,avans eindhoven BIC,thuis,5657 BX,3315 MT
16-Oct,60559,60632,73,thuis,vw garage udenhouy balkweg 1 den bosch,3315 MT,-
16-Oct,60632,60701,69,vw garage udenhouy balkweg 1 den bosch,thuis,-,3315 MT
19-Oct,60701,60769,68,thuis,Avans OWB,3315 MT,5223 DJ
19-Oct,60769,60836,67,Avans OWB,thuis,5223 DJ,3315 MT
20-Oct,60836,60903,67,thuis,Avans OWB,3315 MT,5223 DJ
20-Oct,60903,60970,67,Avans OWB,thuis,5223 DJ,3315 MT
21-Oct,60970,61039,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
21-Oct,61039,61108,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
22-Oct,61108,61176,68,thuis,Avans OWB,3315 MT,5223 DJ
22-Oct,61176,61246,70,Avans OWB,Thuis,5223 DJ,3315 MT
23-Oct,61246,61314,68,Thuis,Avans OWB,3315 MT,5223 DJ
23-Oct,61314,61381,67,Avans OWB,thuis,5223 DJ,3315 MT
30-Oct,61381,61451,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
30-Oct,61451,61520,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
02-Nov,61520,61587,67,thuis,Avans OWB,3315 MT,5223 DJ
02-Nov,61587,61654,67,Avans OWB,thuis,5223 DJ,3315 MT
03-Nov,61654,61722,68,thuis,Avans OWB,3315 MT,5223 DJ
03-Nov,61722,61789,67,Avans OWB,Thuis,5223 DJ,3315 MT
04-Nov,61789,61857,68,Thuis,Avans OWB,3315 MT,5223 DJ
04-Nov,61857,61924,67,Avans OWB,thuis,5223 DJ,3315 MT
05-Nov,61924,61992,68,thuis,Avans OWB,3315 MT,5223 DJ
05-Nov,61992,62059,67,Avans OWB,thuis,5223 DJ,3315 MT
06-Nov,62059,62127,68,thuis,Avans OWB,3315 MT,5223 DJ
06-Nov,62127,62193,66,Avans OWB,thuis,5223 DJ,3315 MT
09-Nov,62193,62263,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
09-Nov,62263,62332,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
10-Nov,62332,62396,64,thuis,balkweg 1 den bosch udenhout garage vw,3315 MT,-
10-Nov,62396,62470,74,balkweg 1 den bosch udenhout garage vw,thuis,-,3315 MT
11-Nov,62470,62540,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
11-Nov,62540,62609,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
12-Nov,62609,62677,68,thuis,Avans den bosch kunst,3315 MT,5223 AL
12-Nov,62677,62746,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
13-Nov,62746,62815,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
13-Nov,62815,62885,70,Avans den bosch kunst,thuis,5223 AL,3315 MT
16-Nov,62885,62953,68,thuis,Avans OWB,3315 MT,5223 DJ
16-Nov,62953,63024,71,Avans OWB,thuis,5223 DJ,3315 MT
17-Nov,63024,63094,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
17-Nov,63094,63164,70,Avans den bosch kunst,thuis,5223 AL,3315 MT
18-Nov,63164,63233,69,thuis,Avans OWB,3315 MT,5223 DJ
18-Nov,63233,63300,67,Avans OWB,thuis,5223 DJ,3315 MT
19-Nov,63300,63365,65,thuis,avans trz hervenplein,3315 MT,5232 JE
19-Nov,63365,63436,71,avans trz hervenplein,thuis,5232 JE,3315 MT
20-Nov,63436,63505,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
20-Nov,63505,63574,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
23-Nov,63574,63643,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
23-Nov,63643,63712,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
24-Nov,63712,63782,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
24-Nov,63782,63850,68,Avans den bosch kunst,thuis,5223 AL,3315 MT
25-Nov,63850,63920,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
25-Nov,63920,63988,68,Avans den bosch kunst,thuis,5223 AL,3315 MT
26-Nov,63988,64057,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
26-Nov,64057,64126,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
27-Nov,64126,64196,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
27-Dec,64196,64264,68,Avans den bosch kunst,thuis,5223 AL,3315 MT
30-Nov,64264,64332,68,thuis,Avans OWB,3315 MT,5223 DJ
30-Nov,64332,64399,67,Avans OWB,thuis,5223 DJ,3315 MT
01-Dec,64399,64468,69,thuis,Avans OWB,3315 MT,5223 DJ
01-Dec,64468,64538,70,Avans OWB,thuis,5223 DJ,3315 MT
02-Dec,64538,64606,68,thuis,Avans den bosch kunst,3315 MT,5223 AL
02-Dec,64606,64673,67,Avans den bosch kunst,Thuis,5223 AL,3315 MT
03-Dec,64673,64740,67,Thuis,Avans OWB,3315 MT,5223 DJ
03-Dec,64740,64807,67,Avans OWB,thuis,5223 DJ,3315 MT
07-Dec,64807,64875,68,thuis,Avans OWB,3315 MT,5223 DJ
07-Dec,64875,64943,68,Avans OWB,thuis,5223 DJ,3315 MT
08-Dec,64943,65013,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
08-Dec,65013,65086,73,Avans den bosch kunst,thuis,5223 AL,3315 MT
09-Dec,65086,65155,69,thuis,Avans den bosch kunst,3315 MT,5223 AL
09-Dec,65155,65224,69,Avans den bosch kunst,Thuis,5223 AL,3315 MT
10-Dec,65224,65292,68,Thuis,Avans OWB,3315 MT,5223 DJ
10-Dec,65292,65362,70,Avans OWB,thuis,5223 DJ,3315 MT
11-Dec,65362,65432,70,thuis,Avans den bosch kunst,3315 MT,5223 AL
11-Dec,65432,65501,69,Avans den bosch kunst,thuis,5223 AL,3315 MT
14-Dec,65501,65572,71,thuis,Avans den bosch kunst,3315 MT,5223 AL
14-Dec,65572,65640,68,Avans den bosch kunst,thuis,5223 AL,3315 MT
15-Dec,65640,65708,68,thuis,Avans OWB,3315 MT,5223 DJ
15-Dec,65708,65775,67,Avans OWB,thuis,5223 DJ,3315 MT
16-Dec,65775,65834,59,thuis,goodzo hq,3315 MT,2715 CA
16-Dec,65834,65893,59,goodzo hq,thuis,2715 CA,3315 MT
17-Dec,65893,65961,68,thuis,Avans OWB,3315 MT,5223 DJ
17-Dec,65961,66031,70,Avans OWB,thuis,5223 DJ,3315 MT
18-Dec,66031,66099,68,thuis,Avans OWB,3315 MT,5223 DJ
18-Dec,66099,66169,70,Avans OWB,thuis,5223 DJ,3315 MT
21-Dec,66169,66236,67,thuis,Avans OWB,3315 MT,5223 DJ
21-Dec,66236,66303,67,Avans OWB,thuis,5223 DJ,3315 MT
22-Dec,66303,66372,69,thuis,Avans OWB,3315 MT,5223 DJ
22-Dec,66372,66443,71,Avans OWB,thuis,5223 DJ,3315 MT
23-Dec,66443,66511,68,thuis,Avans OWB,3315 MT,5223 DJ
23-Dec,66511,66578,67,Avans OWB,thuis,5223 DJ,3315 MT
"",66578,"",-66578,thuis,"",3315 MT,-
"",0,"",0,0,"",-,-
"",0,"",0,0,"",-,-
"",0,"",0,0,"",-,-
